	 APPENDING NEW SESSION
[0, 5036]	 IT: 0
[1, 4945]	 IT: 0
[2, 5025]	 IT: 1
[3, 4959]	 IT: 2
[4, 4848]	 IT: 3
[5, 4809]	 IT: 4
[6, 4899]	 IT: 5
[7, 4943]	 IT: 6
[8, 4827]	 IT: 7
[9, 4854]	 IT: 8
[10, 4895]	 IT: 9
[11, 4936]	 IT: 10
[12, 5046]	 IT: 11
[13, 5087]	 IT: 12
[14, 5095]	 IT: 13
[15, 5090]	 IT: 14
[16, 5031]	 IT: 15
[17, 5023]	 IT: 16
[18, 5025]	 IT: 17
[19, 5112]	 IT: 18
[20, 5112]	 IT: 19
[21, 5071]	 IT: 20
[22, 5088]	 IT: 21
[23, 5110]	 IT: 22
[24, 5068]	 IT: 23
[25, 5074]	 IT: 24
[26, 5082]	 IT: 25
[27, 5183]	 IT: 26
[28, 5203]	 IT: 27
[29, 5194]	 IT: 28
